时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 04:15:00,67167.7890625,67046.28125,67059.625,67180.5703125,6056.478515625,21139.423828125,6123.87451171875,6073.02978515625,5992.76904296875,6065.5458984375,21288.953125,65329.18359375,67569.6328125,21409.376953125,66751.46875
2018-02-01 04:18:00,67168.953125,67055.7109375,67069.0625,67181.6953125,6061.0439453125,21155.439453125,6125.44189453125,6074.80712890625,5992.9873046875,6066.73388671875,21292.484375,65380.0859375,67556.3359375,21405.447265625,66763.9296875
2018-02-01 04:21:00,67175.671875,67071.71875,67085.1484375,67188.359375,6071.513671875,21193.240234375,6123.28564453125,6070.46923828125,5992.78076171875,6065.75927734375,21307.037109375,65491.09765625,67601.28125,21418.380859375,66795.0859375
2018-02-01 04:24:00,67182.4140625,67067.71875,67081.1171875,67195.1328125,6069.0,21183.68359375,6121.52734375,6069.99169921875,5991.23486328125,6063.89697265625,21305.673828125,65468.58984375,67577.7890625,21408.72265625,66792.96875
2018-02-01 04:27:00,67179.8046875,67066.0546875,67079.21875,67192.5,6068.5966796875,21183.70703125,6123.03125,6069.4150390625,5990.5908203125,6063.7626953125,21306.828125,65467.96484375,67624.1328125,21423.29296875,66784.5078125
2018-02-01 04:30:00,67186.03125,67067.2890625,67080.6484375,67198.7265625,6066.8251953125,21176.31640625,6122.85400390625,6071.2998046875,5990.34814453125,6065.8837890625,21299.86328125,65445.9453125,67550.2578125,21401.556640625,66771.5078125
2018-02-01 04:33:00,67190.125,67064.2421875,67077.3203125,67202.5625,6065.51025390625,21171.341796875,6122.35009765625,6070.39599609375,5991.591796875,6067.6533203125,21294.0390625,65430.2421875,67585.59375,21414.48046875,66768.25
2018-02-01 04:36:00,67178.921875,67050.8359375,67063.9375,67191.5703125,6066.96630859375,21178.626953125,6122.85400390625,6071.15234375,5988.9892578125,6065.26318359375,21302.53515625,65448.0859375,67565.9921875,21407.86328125,66774.6484375
2018-02-01 04:39:00,67168.5546875,67035.8671875,67048.90625,67181.0625,6070.7294921875,21189.619140625,6122.93505859375,6071.16845703125,5987.0146484375,6064.9013671875,21306.212890625,65481.3828125,67637.7265625,21432.26171875,66770.3203125
2018-02-01 04:42:00,67173.5078125,67035.671875,67049.0390625,67186.1484375,6069.79345703125,21186.5078125,6117.9296875,6066.03515625,5988.23583984375,6064.87890625,21305.158203125,65472.4921875,67566.8984375,21409.19140625,66763.5234375
2018-02-01 04:45:00,67164.9765625,67026.0703125,67039.5234375,67177.8359375,6068.56689453125,21183.3828125,6114.68896484375,6060.8115234375,5985.7783203125,6062.5,21299.0234375,65466.17578125,67542.2421875,21401.5390625,66757.3671875
2018-02-01 04:48:00,67146.4296875,66999.96875,67013.375,67159.1875,6066.42333984375,21174.55078125,6115.10009765625,6060.60693359375,5985.06591796875,6059.51513671875,21291.142578125,65444.21484375,67538.359375,21398.86328125,66752.859375
2018-02-01 04:51:00,67146.1640625,67003.109375,67016.515625,67158.90625,6069.00244140625,21184.478515625,6116.42333984375,6061.63720703125,5981.8134765625,6056.78466796875,21296.23046875,65469.6484375,67535.8515625,21396.30078125,66769.7578125
2018-02-01 04:54:00,67142.4765625,67009.6015625,67022.9765625,67154.875,6067.43310546875,21180.48046875,6115.89599609375,6059.2626953125,5981.9814453125,6057.201171875,21292.900390625,65459.4453125,67527.640625,21391.955078125,66762.1171875
